StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q4_1,Q4_2,Q4_3,Q6_1,Q7_1,48_Q14_1,48_Q15_1,49_Q14_1,49_Q15_1,50_Q14_1,50_Q15_1,51_Q14_1,51_Q15_1,52_Q14_1,52_Q15_1,53_Q14_1,53_Q15_1,54_Q14_1,54_Q15_1,55_Q14_1,55_Q15_1,56_Q14_1,56_Q15_1,57_Q14_1,57_Q15_1,58_Q14_1,58_Q15_1,59_Q14_1,59_Q15_1,60_Q14_1,60_Q15_1,61_Q14_1,61_Q15_1,62_Q14_1,62_Q15_1,63_Q14_1,63_Q15_1,64_Q14_1,64_Q15_1,65_Q14_1,65_Q15_1,66_Q14_1,66_Q15_1,67_Q14_1,67_Q15_1,68_Q14_1,68_Q15_1,69_Q14_1,69_Q15_1,70_Q14_1,70_Q15_1,71_Q14_1,71_Q15_1,72_Q14_1,72_Q15_1,73_Q14_1,73_Q15_1,74_Q14_1,74_Q15_1,75_Q14_1,75_Q15_1,76_Q14_1,76_Q15_1,77_Q14_1,77_Q15_1,78_Q14_1,78_Q15_1,79_Q14_1,79_Q15_1,80_Q14_1,80_Q15_1,81_Q14_1,81_Q15_1,82_Q14_1,82_Q15_1,83_Q14_1,83_Q15_1,84_Q14_1,84_Q15_1,85_Q14_1,85_Q15_1,86_Q14_1,86_Q15_1,87_Q14_1,87_Q15_1,88_Q14_1,88_Q15_1,89_Q14_1,89_Q15_1,90_Q14_1,90_Q15_1,91_Q14_1,91_Q15_1,92_Q14_1,92_Q15_1,93_Q14_1,93_Q15_1,94_Q14_1,94_Q15_1,95_Q14_1,95_Q15_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is the highest level of education you have completed?,"How would you rate, on a scale from 1 to 10, your proficiency in the following subjects? - English","How would you rate, on a scale from 1 to 10, your proficiency in the following subjects? - Linguistics","How would you rate, on a scale from 1 to 10, your proficiency in the following subjects? - Logic",How would you rate the formulaicness of the above sentence? - Formulaicness,How would you rate the grammaticallity of the above sentence? - Grammaticality,How would you rate the formulaicness of the above sentence? - It is not the case that d is in front of c and it is not the case that d is in front of b and it is not the case that c is in front of b. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that d is in front of c and it is not the case that d is in front of b and it is not the case that c is in front of b. - Grammaticality,How would you rate the formulaicness of the above sentence? - It is not the case that there is an element v such that v is to the right of b and v is a cube. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that there is an element v such that v is to the right of b and v is a cube. - Grammaticality,"How would you rate the formulaicness of the above sentence? - It is not the case that there is an element x such that x is a cube, x is in front of every tetrahedron and x is not large. - Formulaicness","How would you rate the grammaticallity of the above sentence? - It is not the case that there is an element x such that x is a cube, x is in front of every tetrahedron and x is not large. - Grammaticality",How would you rate the formulaicness of the above sentence? - It is not the case that there is an element u such that b is to the left of u and u is a cube. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that there is an element u such that b is to the left of u and u is a cube. - Grammaticality,"How would you rate the formulaicness of the above sentence? - For all x, if x is a cube, then there is an element y such that y is to the right of x and it is not the case that y is in front of x or y is in back of x. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all x, if x is a cube, then there is an element y such that y is to the right of x and it is not the case that y is in front of x or y is in back of x. - Grammaticality","How would you rate the formulaicness of the above sentence? - It is not the case that for all u, for all y, if u is a cube and y is a tetrahedron, then u is smaller than y. - Formulaicness","How would you rate the grammaticallity of the above sentence? - It is not the case that for all u, for all y, if u is a cube and y is a tetrahedron, then u is smaller than y. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all x, for all y, it is not the case that x is a tetrahedron and y is a cube and x is of the same size as y. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all x, for all y, it is not the case that x is a tetrahedron and y is a cube and x is of the same size as y. - Grammaticality",How would you rate the formulaicness of the above sentence? - It is not the case that c is in front of c and it is not the case that c is in front of b and it is not the case that d is in front of c and it is not the case that d is in front of b. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that c is in front of c and it is not the case that c is in front of b and it is not the case that d is in front of c and it is not the case that d is in front of b. - Grammaticality,How would you rate the formulaicness of the above sentence? - It is not the case that d is in front of c and it is not the case that c is in front of b and it is not the case that d is in front of b and it is not the case that c is in front of c. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that d is in front of c and it is not the case that c is in front of b and it is not the case that d is in front of b and it is not the case that c is in front of c. - Grammaticality,How would you rate the formulaicness of the above sentence? - D is a cube and c is a cube and it is not the case that d is small and c is small and it is not the case that d is small or c is small. - Formulaicness,How would you rate the grammaticallity of the above sentence? - D is a cube and c is a cube and it is not the case that d is small and c is small and it is not the case that d is small or c is small. - Grammaticality,How would you rate the formulaicness of the above sentence? - There is an element u such that it is not the case that u is large or small and u is a dodecahedron. - Formulaicness,How would you rate the grammaticallity of the above sentence? - There is an element u such that it is not the case that u is large or small and u is a dodecahedron. - Grammaticality,How would you rate the formulaicness of the above sentence? - It is not the case that c is in back of d or b is in back of d and it is not the case that c is in back of c or b is in back of c. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that c is in back of d or b is in back of d and it is not the case that c is in back of c or b is in back of c. - Grammaticality,How would you rate the formulaicness of the above sentence? - It is not the case that it is not the case that e is of the same size as d. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that it is not the case that e is of the same size as d. - Grammaticality,How would you rate the formulaicness of the above sentence? - D is a cube and c is a cube and it is not the case that d is small or c is small. - Formulaicness,How would you rate the grammaticallity of the above sentence? - D is a cube and c is a cube and it is not the case that d is small or c is small. - Grammaticality,How would you rate the formulaicness of the above sentence? - It is not the case that b is not in the same row as a and b is not in the same column as f. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that b is not in the same row as a and b is not in the same column as f. - Grammaticality,How would you rate the formulaicness of the above sentence? - D is small and d is a dodecahedron or a is small and it is not the case that d is small and d is a dodecahedron. - Formulaicness,How would you rate the grammaticallity of the above sentence? - D is small and d is a dodecahedron or a is small and it is not the case that d is small and d is a dodecahedron. - Grammaticality,"How would you rate the formulaicness of the above sentence? - For all x, if x is adjacent to a, then x is not adjacent to a. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all x, if x is adjacent to a, then x is not adjacent to a. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all cubes x, for all dodecahedrons y, y is larger than x or x is of the same size as y. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all cubes x, for all dodecahedrons y, y is larger than x or x is of the same size as y. - Grammaticality","How would you rate the formulaicness of the above sentence? - There is an element x such that x is a cube, x is large and there is an element y such that x is to the left of b. - Formulaicness","How would you rate the grammaticallity of the above sentence? - There is an element x such that x is a cube, x is large and there is an element y such that x is to the left of b. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all cubes z, z is not small or z is in back of something. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all cubes z, z is not small or z is in back of something. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all w, if w is smaller than a, then w is a cube. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all w, if w is smaller than a, then w is a cube. - Grammaticality","How would you rate the formulaicness of the above sentence? - If it is not the case that there is a dodecahedron x such that e is not to the left of x, then e is not a dodecahedron. - Formulaicness","How would you rate the grammaticallity of the above sentence? - If it is not the case that there is a dodecahedron x such that e is not to the left of x, then e is not a dodecahedron. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all x, if x is a cube and x is large, then there is an element y such that x is in front of y. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all x, if x is a cube and x is large, then there is an element y such that x is in front of y. - Grammaticality","How would you rate the formulaicness of the above sentence? - It is not the case that if a is larger than c, then a is large and it is not the case that if e is larger than c, then e is large. - Formulaicness","How would you rate the grammaticallity of the above sentence? - It is not the case that if a is larger than c, then a is large and it is not the case that if e is larger than c, then e is large. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all y, there is an element z such that if y is a dodecahedron and z is not to the right of y, then y is small. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all y, there is an element z such that if y is a dodecahedron and z is not to the right of y, then y is small. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all x, for all y, if x is to the left of y or to the right of y, then x is not a cube or y is not a cube. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all x, for all y, if x is to the left of y or to the right of y, then x is not a cube or y is not a cube. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all y, for all x, if y is a cube and x is of the same size as y, then x is not a tetrahedron. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all y, for all x, if y is a cube and x is of the same size as y, then x is not a tetrahedron. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all cubes z, some tetrahedron is of the same size as z and to the right of z. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all cubes z, some tetrahedron is of the same size as z and to the right of z. - Grammaticality","How would you rate the formulaicness of the above sentence? - There is an element z such that z is large, z is a cube and b is to the right of z. - Formulaicness","How would you rate the grammaticallity of the above sentence? - There is an element z such that z is large, z is a cube and b is to the right of z. - Grammaticality",How would you rate the formulaicness of the above sentence? - It is not the case that there is a cube x such that there is an element y such that x is to the right of y and y is a cube. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that there is a cube x such that there is an element y such that x is to the right of y and y is a cube. - Grammaticality,"How would you rate the formulaicness of the above sentence? - For all y, if y is even, then y is a prime. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all y, if y is even, then y is a prime. - Grammaticality","How would you rate the formulaicness of the above sentence? - For all y, for all dodecahedrons x, for all z, there is no element u such that y, z and u are in back of x. - Formulaicness","How would you rate the grammaticallity of the above sentence? - For all y, for all dodecahedrons x, for all z, there is no element u such that y, z and u are in back of x. - Grammaticality",How would you rate the formulaicness of the above sentence? - It is not the case that every cube is smaller than every tetrahedron. - Formulaicness,How would you rate the grammaticallity of the above sentence? - It is not the case that every cube is smaller than every tetrahedron. - Grammaticality,"How would you rate the formulaicness of the above sentence? - A rectangle has four sides with opposite sides equal in length, and all angles are 90 degrees, while a rhombus has four equal sides but not all angles are necessarily 90 degrees. - Formulaicness","How would you rate the grammaticallity of the above sentence? - A rectangle has four sides with opposite sides equal in length, and all angles are 90 degrees, while a rhombus has four equal sides but not all angles are necessarily 90 degrees. - Grammaticality","How would you rate the formulaicness of the above sentence? - A beach, located along a coastline, is composed of sand, pebbles, or other sediment, and serves as a habitat for various coastal organisms and a popular recreational destination for humans. - Formulaicness","How would you rate the grammaticallity of the above sentence? - A beach, located along a coastline, is composed of sand, pebbles, or other sediment, and serves as a habitat for various coastal organisms and a popular recreational destination for humans. - Grammaticality","How would you rate the formulaicness of the above sentence? - Saxophones are made of brass, violins are made of wood, and flutes are made of metal. - Formulaicness","How would you rate the grammaticallity of the above sentence? - Saxophones are made of brass, violins are made of wood, and flutes are made of metal. - Grammaticality",How would you rate the formulaicness of the above sentence? - A material is classified as a conductor if it allows the flow of electric current with minimal resistance. - Formulaicness,How would you rate the grammaticallity of the above sentence? - A material is classified as a conductor if it allows the flow of electric current with minimal resistance. - Grammaticality,"How would you rate the formulaicness of the above sentence? - If a person is a doctor, they must diagnose and treat health issues in patients. - Formulaicness","How would you rate the grammaticallity of the above sentence? - If a person is a doctor, they must diagnose and treat health issues in patients. - Grammaticality","How would you rate the formulaicness of the above sentence? - A few smartphones support wireless charging, are waterproof, and have a high-resolution camera. - Formulaicness","How would you rate the grammaticallity of the above sentence? - A few smartphones support wireless charging, are waterproof, and have a high-resolution camera. - Grammaticality",How would you rate the formulaicness of the above sentence? - Some vegetables are both green and leafy. - Formulaicness,How would you rate the grammaticallity of the above sentence? - Some vegetables are both green and leafy. - Grammaticality,"How would you rate the formulaicness of the above sentence? - Some plants grow in different types of soil, require a certain amount of sunlight, and can be pollinated by insects, birds, or wind. - Formulaicness","How would you rate the grammaticallity of the above sentence? - Some plants grow in different types of soil, require a certain amount of sunlight, and can be pollinated by insects, birds, or wind. - Grammaticality",How would you rate the formulaicness of the above sentence? - A mountain is taller than a hill but shorter than a plateau. - Formulaicness,How would you rate the grammaticallity of the above sentence? - A mountain is taller than a hill but shorter than a plateau. - Grammaticality,"How would you rate the formulaicness of the above sentence? - A person is considered a farmer if they cultivate land, raise crops, and/or care for livestock for food, fiber, or other products. - Formulaicness","How would you rate the grammaticallity of the above sentence? - A person is considered a farmer if they cultivate land, raise crops, and/or care for livestock for food, fiber, or other products. - Grammaticality","How would you rate the formulaicness of the above sentence? - A metal is magnetic, a gas is compressible, and a liquid takes the shape of its container. - Formulaicness","How would you rate the grammaticallity of the above sentence? - A metal is magnetic, a gas is compressible, and a liquid takes the shape of its container. - Grammaticality",How would you rate the formulaicness of the above sentence? - A smartphone is user-friendly when it has an intuitive interface and (offers a responsive touch screen or has easy-to-navigate settings). - Formulaicness,How would you rate the grammaticallity of the above sentence? - A smartphone is user-friendly when it has an intuitive interface and (offers a responsive touch screen or has easy-to-navigate settings). - Grammaticality,How would you rate the formulaicness of the above sentence? - Vehicles offering excellent fuel efficiency and advanced safety features are attractive options for eco-friendly consumers. - Formulaicness,How would you rate the grammaticallity of the above sentence? - Vehicles offering excellent fuel efficiency and advanced safety features are attractive options for eco-friendly consumers. - Grammaticality,How would you rate the formulaicness of the above sentence? - A cake is ready to be removed from the oven when it passes the toothpick test and has cooled down sufficiently. - Formulaicness,How would you rate the grammaticallity of the above sentence? - A cake is ready to be removed from the oven when it passes the toothpick test and has cooled down sufficiently. - Grammaticality,"How would you rate the formulaicness of the above sentence? - A novel is a type of book that tells a story, while a textbook is a type of book used for educational purposes. - Formulaicness","How would you rate the grammaticallity of the above sentence? - A novel is a type of book that tells a story, while a textbook is a type of book used for educational purposes. - Grammaticality"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_4_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""48_QID14_1""}","{""ImportId"":""48_QID15_1""}","{""ImportId"":""49_QID14_1""}","{""ImportId"":""49_QID15_1""}","{""ImportId"":""50_QID14_1""}","{""ImportId"":""50_QID15_1""}","{""ImportId"":""51_QID14_1""}","{""ImportId"":""51_QID15_1""}","{""ImportId"":""52_QID14_1""}","{""ImportId"":""52_QID15_1""}","{""ImportId"":""53_QID14_1""}","{""ImportId"":""53_QID15_1""}","{""ImportId"":""54_QID14_1""}","{""ImportId"":""54_QID15_1""}","{""ImportId"":""55_QID14_1""}","{""ImportId"":""55_QID15_1""}","{""ImportId"":""56_QID14_1""}","{""ImportId"":""56_QID15_1""}","{""ImportId"":""57_QID14_1""}","{""ImportId"":""57_QID15_1""}","{""ImportId"":""58_QID14_1""}","{""ImportId"":""58_QID15_1""}","{""ImportId"":""59_QID14_1""}","{""ImportId"":""59_QID15_1""}","{""ImportId"":""60_QID14_1""}","{""ImportId"":""60_QID15_1""}","{""ImportId"":""61_QID14_1""}","{""ImportId"":""61_QID15_1""}","{""ImportId"":""62_QID14_1""}","{""ImportId"":""62_QID15_1""}","{""ImportId"":""63_QID14_1""}","{""ImportId"":""63_QID15_1""}","{""ImportId"":""64_QID14_1""}","{""ImportId"":""64_QID15_1""}","{""ImportId"":""65_QID14_1""}","{""ImportId"":""65_QID15_1""}","{""ImportId"":""66_QID14_1""}","{""ImportId"":""66_QID15_1""}","{""ImportId"":""67_QID14_1""}","{""ImportId"":""67_QID15_1""}","{""ImportId"":""68_QID14_1""}","{""ImportId"":""68_QID15_1""}","{""ImportId"":""69_QID14_1""}","{""ImportId"":""69_QID15_1""}","{""ImportId"":""70_QID14_1""}","{""ImportId"":""70_QID15_1""}","{""ImportId"":""71_QID14_1""}","{""ImportId"":""71_QID15_1""}","{""ImportId"":""72_QID14_1""}","{""ImportId"":""72_QID15_1""}","{""ImportId"":""73_QID14_1""}","{""ImportId"":""73_QID15_1""}","{""ImportId"":""74_QID14_1""}","{""ImportId"":""74_QID15_1""}","{""ImportId"":""75_QID14_1""}","{""ImportId"":""75_QID15_1""}","{""ImportId"":""76_QID14_1""}","{""ImportId"":""76_QID15_1""}","{""ImportId"":""77_QID14_1""}","{""ImportId"":""77_QID15_1""}","{""ImportId"":""78_QID14_1""}","{""ImportId"":""78_QID15_1""}","{""ImportId"":""79_QID14_1""}","{""ImportId"":""79_QID15_1""}","{""ImportId"":""80_QID14_1""}","{""ImportId"":""80_QID15_1""}","{""ImportId"":""81_QID14_1""}","{""ImportId"":""81_QID15_1""}","{""ImportId"":""82_QID14_1""}","{""ImportId"":""82_QID15_1""}","{""ImportId"":""83_QID14_1""}","{""ImportId"":""83_QID15_1""}","{""ImportId"":""84_QID14_1""}","{""ImportId"":""84_QID15_1""}","{""ImportId"":""85_QID14_1""}","{""ImportId"":""85_QID15_1""}","{""ImportId"":""86_QID14_1""}","{""ImportId"":""86_QID15_1""}","{""ImportId"":""87_QID14_1""}","{""ImportId"":""87_QID15_1""}","{""ImportId"":""88_QID14_1""}","{""ImportId"":""88_QID15_1""}","{""ImportId"":""89_QID14_1""}","{""ImportId"":""89_QID15_1""}","{""ImportId"":""90_QID14_1""}","{""ImportId"":""90_QID15_1""}","{""ImportId"":""91_QID14_1""}","{""ImportId"":""91_QID15_1""}","{""ImportId"":""92_QID14_1""}","{""ImportId"":""92_QID15_1""}","{""ImportId"":""93_QID14_1""}","{""ImportId"":""93_QID15_1""}","{""ImportId"":""94_QID14_1""}","{""ImportId"":""94_QID15_1""}","{""ImportId"":""95_QID14_1""}","{""ImportId"":""95_QID15_1""}"
2024-01-17 14:47:30,2024-01-17 15:00:44,IP Address,*******,100,793,True,2024-01-17 15:00:45,R_6V7UFpvD9k2d8fX,*******,*******,*******,*******,*******,*******,anonymous,EN,45-54 years old,Female,,Vocational or Similar,7,5,7,1.37,2,1.2,2,1.6,2,1.3,2,1.3,3,1.3,2,1.3,2,1.1,2,1.3,2,1.3,2,1.3,2,1.7,3,1.2,2,1.2,2,1.4,2,1.3,6,1.3,3,1.6,3,1.6,2,1.2,3,1.3,2,1.3,2,1.2,4,1.1,2,1.3,3,1.4,2,1.3,2,1.3,2,1.4,3,1.8,3,1.2,2,1.1,3,1.3,2,2.5,5,2.6,5,2.9,6,2.3,6,2.9,6,2.1,6,2.6,7,2.3,5,2.6,6,1.2,2,2.6,6,2.5,6,2.6,6,2.6,6,2.6,6,2.9,7
2024-01-18 06:21:42,2024-01-18 06:34:15,IP Address,*******,100,752,True,2024-01-18 06:34:16,R_6zCrfUGTGGX6uJK,*******,*******,*******,*******,*******,*******,anonymous,EN,18-24 years old,Male,,Some university but no degree,9,8,10,1.65,7,1.4,6,2,6,2.4,7,2.1,5,2,6,2.4,6,1.5,5,1.5,4,1.2,4,1.7,5,2.7,6,1.2,2,1.6,4,2.1,6,1.5,5,1.8,6,3,7,2.4,4,2.3,6,2,3,3,7,2.1,6,2.4,7,1.7,3,2,6,2.3,5,2.7,6,2.3,6,2.8,7,2.1,6,3,7,2.2,6,2.9,7,2.6,6,3,7,3,7,3,7,3,7,2,7,3,7,3,7,3,7,3,7,3,7,1.2,7,3,7,3,7,3,7
2024-01-18 08:45:40,2024-01-18 09:04:03,IP Address,*******,100,1102,True,2024-01-18 09:04:04,R_1uHXlrD9tGNCX1g,*******,*******,*******,*******,*******,*******,anonymous,EN,45-54 years old,Male,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5,5,4,1,1,2,4,2,7,2,6,2,2,2,7,2,4,1,1,3,7,3,7,3,6,3,7,1,1,3,7,2,7,3,7,3,4,1,7,2,7,2,7,2,5,2,7,3,7,2,6,2,7,2,3,1,4,1,7,3,7,1,1,2,7,3,7,1,1,3,7,3,7,3,7,3,7,3,7,3,6,3,7,3,7,3,7,3,7,3,6,3,7,3,3,3,7,3,7,3,7
2024-01-18 14:26:33,2024-01-18 14:40:29,IP Address,*******,100,835,True,2024-01-18 14:40:29,R_72RSm94scENw98Z,*******,*******,*******,*******,*******,*******,anonymous,EN,18-24 years old,Female,,Some university but no degree,7,5,8,1,3,1,5,1.5,3,1,3,2,4,1,3,1,3,1,6,1.6,5,2,6,1,6,2,3,1,6,2.1,1,1,2,1,4,1.8,5,1,5,1,3,1,4,1.5,2,1,3,2,5,1.5,5,1,4,1,4,1,3,1,3,2,5,1.6,5,1,4,1,4,1,3,3,5,3,5,3,7,3,7,3,6,3,7,3,5,3,7,3,6,3,7,3,6,3,7,3,6,3,7,3,7,3,7
2024-01-20 01:39:57,2024-01-20 01:50:37,IP Address,*******,100,640,True,2024-01-20 01:50:38,R_5EEFg1PoytSByHJ,*******,*******,*******,*******,*******,*******,anonymous,EN,35-44 years old,Female,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7,4,10,2.02,6,2.1,5,2.1,5,2,5,2.4,5,1.7,4,1.9,7,1.9,5,2,6,1.7,7,1.7,4,1.8,4,2.1,5,2.2,3,1.9,7,2.1,5,2,5,1.9,5,1.9,6,2.1,4,2.1,5,2.1,5,1.8,5,2.3,4,2.1,6,2.1,3,2.3,7,2.1,5,2.1,5,2,5,1.9,5,2.9,7,1.8,5,2.3,5,2.2,5,3,7,3,7,3,7,3,7,1.5,7,3,7,3,7,3,7,3,7,3,7,2.9,7,3,7,3,7,3,7
2024-01-21 08:08:29,2024-01-21 08:30:59,IP Address,*******,100,1349,True,2024-01-21 08:30:59,R_2EWo278Lz28vFje,*******,*******,*******,*******,*******,*******,anonymous,EN,25-34 years old,Female,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7,6,8,2.52,5,1.5,4,2.1,4,2.5,4,1.6,5,2.7,5,1.7,5,2.3,4,2.5,4,1.4,2,2.1,4,1.8,3,1.9,4,2.3,2,1.8,5,1.9,4,2.5,4,1.8,5,1.4,4,1.7,4,2.3,4,1.8,5,2.6,4,1.5,4,1.2,3,1.6,6,1.5,3,1.9,5,2.8,5,1.5,4,2,3,2.4,3,1.4,3,2.3,6,2.7,6,2.8,5,2.9,6,2.8,6,2.9,6,3,7,3,7,2.8,5,2.9,5,2.9,6,3,6,2.9,5,1.6,3,2.9,6,2.8,6
2024-01-22 11:38:45,2024-01-22 12:13:28,IP Address,*******,100,2083,True,2024-01-22 12:13:29,R_8nLAB2s4KZ9sO4N,*******,*******,*******,*******,*******,*******,anonymous,EN,18-24 years old,Male,,Some university but no degree,7,5,7,2,4,2,2,2,4,2,5,1.6,5,2,3,1.9,4,2.5,4,2,1,2,2,2,4,2,5,1.3,3,1.4,2,1,3,2,4,1.8,3,2.5,3,2,2,2,5,2.3,3,1.4,4,2,4,2,4,2,2,2,4,1.9,4,1.6,4,2,4,2,4,2,3,1.9,5,1.8,4,2.8,5,1,6,3,5,3,6,3,7,3,6,3,7,1,5,3,6,2.9,6,1,6,1,5,3,7,3,7,3,6,3,6
2024-01-22 11:51:11,2024-01-22 12:31:24,IP Address,*******,100,2412,True,2024-01-22 12:31:25,R_7vjBOhDyGDef4I4,*******,*******,*******,*******,*******,*******,anonymous,EN,18-24 years old,Male,,Vocational or Similar,6,6,6,2,5,2,2,1.5,4,1,4,1.5,5,1.5,5,1,3,2,3,2,2,2,2,2,2,2,4,1.5,4,1.4,2,2,3,2,4,2,3,1,5,1,3,1,5,2,4,1,6,1,4,1.5,3,1.5,3,1.5,4,1,3,1,5,2,4,1.8,4,1.5,4,1,7,1.5,2,3,6,3,6,3,5,3,6,3,3,3,4,3,6,3,7,3,5,3,7,3,4,3,5,3,4,3,5,3,5,3,7
