class,sentence,Grammaticality,Formulaicness,Final,GRUEN,Formulaicness Model,Combined Model
1,48,3.75,1.65,1.0,0.7243524841936774,0.002273692339301871,0.3633130882664896
1,49,4.375,1.85,1.0,0.7883844142549264,0.8640034739307059,0.8261939440928161
1,50,4.5,1.775,1.0,0.7053298614653049,0.9063281721573679,0.8058290168113365
1,51,4.25,1.8125,1.0,0.7723784794518889,0.7824116652142182,0.7773950723330536
1,52,4.375,1.775,1.0,0.8122032176942184,0.6906392603382635,0.7514212390162409
1,53,4.25,1.65,1.0,0.8088006922535521,0.0372846990696804,0.42304269566161623
1,54,3.75,1.6624999999999999,1.0,0.7985529938489955,0.020521864800216495,0.40953742932460596
1,55,3.875,1.9874999999999998,1.0,0.7459548487831049,0.0022326225151485316,0.37409373564912674
1,56,4.0,1.825,1.0,0.7447753344178345,0.0024022296331005734,0.3735887820254675
1,57,4.125,1.85,1.0,0.7127010626481862,0.002456590475169694,0.35757882656167794
1,58,4.375,2.125,1.0,0.7791060831432932,0.2931220099852538,0.5361140465642735
1,59,3.375,1.4,1.0,0.6991618383791377,0.0032978418813035485,0.3512298401302206
1,60,2.875,1.9,1.0,0.6932821386234118,0.0032798321889874207,0.3482809854061996
1,61,4.375,1.65,1.0,0.6887081971456548,0.022497404939036587,0.3556028010423457
1,62,4.875,1.85,1.0,0.7685121425343955,0.06088921873788212,0.4147006806361388
1,63,4.125,2.0250000000000004,1.0,0.6432459647853801,0.0026270528452025216,0.3229365088152913
2,64,5.0,1.725,1.0,0.8118144246969858,0.010047477492358488,0.41093095109467215
2,65,3.875,1.6625,1.0,0.7036961243271084,0.00588165748975073,0.3547888909084296
2,66,4.75,1.6625,1.0,0.8611347361060532,0.11382423142902592,0.4874794837675396
2,67,3.5,1.9375,1.0,0.4902071972921156,0.06875486211572372,0.27948102970391964
2,68,4.875,1.7000000000000002,1.0,0.8197871961426664,0.027899106935658845,0.42384315153916263
2,69,4.875,1.9625000000000001,1.0,0.7843786398425481,0.11438707852089909,0.4493828591817236
2,70,4.375,1.7875,1.0,0.8439002987524313,0.24905311966906837,0.5464767092107499
2,71,3.875,1.6,1.0,0.7890231923067947,0.005762548445758705,0.39739287037627674
2,72,4.0,1.7000000000000002,1.0,0.8338747869109371,0.16194061488363218,0.49790770089728464
2,73,3.875,1.5374999999999999,1.0,0.8497977925753417,0.02275458562253098,0.43627618909893634
2,74,4.625,1.575,1.0,0.8130414739051823,0.07112773246096381,0.4420846031830731
2,75,4.875,2.2,1.0,0.701235807014363,0.5577945159902205,0.6295151615022918
2,76,4.125,1.8125,1.0,0.6807768295588106,0.34238132328401155,0.5115790764214111
2,77,4.25,1.7125,1.0,0.8105014145350999,0.7320300582787462,0.7712657364069231
2,78,5.375,2.0374999999999996,1.0,0.8315894596191171,0.014489914900991474,0.4230396872600543
2,79,3.25,1.5,1.0,0.8114588476785043,0.0501201881654044,0.43078951792195436
3,80,5.75,2.7249999999999996,1.0,0.6845368300564902,0.9742897849720555,0.8294133075142729
3,81,5.75,2.5125,1.0,0.8350073454219049,0.9205321152081567,0.8777697303150308
3,82,6.125,2.9625000000000004,1.0,0.8923362085369401,0.912484439780604,0.902410324158772
3,83,6.5,2.9000000000000004,1.0,0.8521732945844707,0.9136386189036073,0.8829059567440389
3,84,6.125,2.9625000000000004,1.0,0.8651814658433581,0.6479883077625554,0.7565848868029568
3,85,6.125,2.875,1.0,0.7353128171872572,0.5502278795450738,0.6427703483661655
3,86,6.625,2.6375,1.0,0.8720026310983583,0.28298752073081135,0.5774950759145848
3,87,6.5,2.6625,1.0,0.8456836640834808,0.7367800566854971,0.791231860384489
3,88,6.125,2.925,1.0,0.8965770379666596,0.9756928597850356,0.9361349488758476
3,89,6.0,2.75,1.0,0.7634518446522058,0.04403830593056552,0.4037450752913857
3,90,6.0,2.6875,1.0,0.8720953000714269,0.004483416037579681,0.4382893580545033
3,91,6.25,2.6875,1.0,0.7913947391470582,0.9652927440286805,0.8783437415878693
3,92,5.625,2.7,1.0,0.5849244700067541,0.7565276350476177,0.6707260525271859
3,93,6.125,2.775,1.0,0.8554414493958654,0.6532589651792879,0.7543502072875767
3,94,6.375,2.9375,1.0,0.7769844462770883,0.8987316768191318,0.83785806154811
3,95,6.75,2.9625000000000004,1.0,0.8669157786298411,0.9295016925560798,0.8982087355929604
